movieId,released,title,actors,director,genres
57,1995-11-03,Home for the Holidays,Holly Hunter|Charles Durning|Robert Downey Jr.|Anne Bancroft,Jodie Foster,Drama
58,1996-03-22,"Postman, The (Postino, Il)",Philippe Noiret|Renato Scarpa|Maria Grazia Cucinotta|Massimo Troisi,Michael Radford,Comedy|Romance|Drama
59,1996-08-16,"Confessional, The (Confessionnal, Le)",Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Lothaire Bluteau,Robert Lepage,Drama|Mystery
60,1995-07-14,"Indian in the Cupboard, The",Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins,Frank Oz,Fantasy|Adventure|Children
61,1996-01-12,Eye for an Eye,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle,John Schlesinger,Drama|Thriller
62,1996-01-19,Mr. Holland's Opus,Jay Thomas|Glenne Headly|Olympia Dukakis|Richard Dreyfuss,Stephen Herek,Drama
63,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Chris Spencer|Tracey Cherelle Jones|Marlon Wayans|Shawn Wayans,Paris Barclay,Comedy|Crime
64,1996-01-12,Two if by Sea,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto,Bill Bennett,Comedy|Romance
65,1996-01-12,Bio-Dome,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West,Jason Bloom,Comedy
66,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,Patrick Bergin|Matt Frewer|Ely Pouget|Austin O'Brien,Farhad Mann,Thriller|Sci-Fi|Action
68,1996-01-19,French Twist (Gazon maudit),Ticky Holgado|Alain Chabat|Josiane Balasko|Victoria Abril,Josiane Balasko,Romance|Comedy
69,1995-04-26,Friday,Tommy 'Tiny' Lister|Nia Long|Chris Tucker|Ice Cube,F. Gary Gray,Comedy
70,1996-01-19,From Dusk Till Dawn,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,Thriller|Action|Comedy|Horror
71,1995-11-03,Fair Game,William Baldwin|Christopher McDonald|Steven Berkoff|Cindy Crawford,Andrew Sipes,Action
72,1995-10-06,Kicking and Screaming,Josh Hamilton|Jonathan Baumbach|Samuel Gould|Catherine Kellner,Noah Baumbach,Drama|Comedy
73,1995-11-03,"Misérables, Les",Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch, Claude Lelouch,War|Drama
74,1996-01-26,Bed of Roses,Christian Slater|Mary Stuart Masterson|Josh Brolin|Pamela Adlon,Michael Goldenberg,Romance|Drama
76,1996-01-26,Screamers,Peter Weller|Andrew Lauer|Jennifer Rubin|Roy Dupuis,Christian Duguay,Action|Sci-Fi|Thriller
77,1995-11-16,Nico Icon,Christian Aaron Boulogne|Christian Päffgen|Tina Aumont|Nico,Susanne Ofteringer,Documentary
78,1995-11-16,"Crossing Guard, The",Jack Nicholson|Anjelica Huston|David Morse|Robin Wright,Sean Penn,Action|Crime|Drama|Thriller
79,1996-02-02,"Juror, The",Alec Baldwin|Demi Moore|Anne Heche|Joseph Gordon-Levitt,Brian Gibson,Drama|Thriller
80,1995-11-27,"White Balloon, The (Badkonake sefid)",Anna Borkowska|Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy,Jafar Panahi,Children|Drama
81,1995-12-01,Things to Do in Denver When You're Dead,Andy Garcia|Bill Nunn|Christopher Lloyd|William Forsythe,Gary Fleder,Crime|Drama|Romance
82,1996-02-02,Antonia's Line (Antonia),Veerle van Overloop|Els Dottermans|Dora van der Groen|Willeke van Ammelrooy,Marleen Gorris,Drama|Comedy
83,1996-01-26,Once Upon a Time... When We Were Colored,Al Freeman Jr.|Leon|Phylicia Rashad|Paula Kelly,Tim Reid,Drama|Romance
84,1996-09-15,Last Summer in the Hamptons,Victoria Foyt|Jon Robin Baitz|Viveca Lindfors|Savannah Smith Boucher,Henry Jaglom,Drama|Comedy
85,1996-01-26,Angels and Insects,Patsy Kensit|Kristin Scott Thomas|Mark Rylance|Jeremy Kemp,Philip Haas,Drama|Romance
86,1996-02-02,White Squall,Jeff Bridges|Scott Wolf|John Savage|Caroline Goodall,Ridley Scott,Action|Drama|Adventure
87,1996-01-12,Dunston Checks In,Jason Alexander|Faye Dunaway|Rupert Everett|Eric Lloyd,Ken Kwapis,Comedy|Children
88,1996-02-02,Black Sheep,Chris Farley|Christine Ebersole|Tim Matheson|David Spade,Penelope Spheeris,Comedy
89,1995-11-22,Nick of Time,Christopher Walken|Courtney Chase|Charles S. Dutton|Johnny Depp,John Badham,Action|Thriller
92,1996-02-23,Mary Reilly,Julia Roberts|George Cole|Michael Gambon|John Malkovich,Stephen Frears,Horror|Thriller|Drama
93,1995-10-27,Vampire in Brooklyn,Eddie Murphy|Kadeem Hardison|Angela Bassett|Allen Payne,Wes Craven,Comedy|Horror|Romance
94,1996-02-09,Beautiful Girls,Annabeth Gish|Matt Dillon|Lauren Holly|Noah Emmerich,Ted Demme,Drama|Romance|Comedy
95,1996-02-09,Broken Arrow,John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo,John Woo,Adventure|Action|Thriller
96,1996-02-16,In the Bleak Midwinter,Nicholas Farrell|Richard Briers|Joan Collins|Hetta Charnley,Kenneth Branagh,Comedy|Drama
97,1996-02-23,"Hate (Haine, La)",Vincent Cassel|Abdel Ahmed Ghili|Saïd Taghmaoui|Hubert Koundé,Mathieu Kassovitz,Drama|Crime
98,1996-02-09,Shopping,Fraser James|Sean Pertwee|Jude Law|Sadie Frost,Paul W.S. Anderson,Thriller|Action
99,1996-02-09,Heidi Fleiss: Hollywood Madam,Heidi Fleiss|Nick Broomfield|Corinne Bohrer|Madam Alex,Nick Broomfield,Documentary
100,1996-02-16,City Hall,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello,Harold Becker,Thriller|Drama
101,1996-02-21,Bottle Rocket,Owen Wilson|Luke Wilson|Ned Dowd|Shea Fowler,Wes Anderson,Romance|Crime|Comedy|Adventure
102,1996-02-16,Mr. Wrong,Dean Stockwell|Joan Cusack|Bill Pullman|Ellen DeGeneres,Nick Castle,Comedy
103,1996-02-23,Unforgettable,Ray Liotta|Linda Fiorentino|Peter Coyote|Christopher McDonald,John Dahl,Thriller|Sci-Fi|Mystery
104,1996-02-16,Happy Gilmore,Adam Sandler|Christopher McDonald|Frances Bay|Julie Bowen,Dennis Dugan,Comedy
105,1995-06-02,"Bridges of Madison County, The",Clint Eastwood|Meryl Streep|Annie Corley|Victor Slezak,Clint Eastwood,Drama|Romance
107,1996-02-16,Muppet Treasure Island,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop,Brian Henson,Children|Comedy|Musical|Adventure
108,1996-05-16,Catwalk,Christy Turlington|Giorgio Armani|Azzedine Alaïa|Nadja Auermann,Robert Leacock,Documentary
110,1995-05-24,Braveheart,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,War|Drama|Action
111,1976-02-08,Taxi Driver,Diahnne Abbott|Gino Ardito|Frank Adu|Victor Argo,Martin Scorsese,Thriller|Drama|Crime
112,1996-02-23,Rumble in the Bronx (Hont faan kui),Bill Tung|Anita Mui|Françoise Yip|Jackie Chan,Stanley Tong,Crime|Comedy|Adventure|Action
113,1996-02-23,Before and After,Meryl Streep|Julia Weldon|Edward Furlong|Liam Neeson,Barbet Schroeder,Drama|Mystery
114,1996-01-26,Margaret's Museum,Helena Bonham Carter|Craig Anthony Olejnik|Clive Russell|Kate Nelligan,Mort Ransen,Drama
116,1995-08-31,Anne Frank Remembered,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper,Jon Blair,Documentary
117,1996-02-23,"Young Poisoner's Handbook, The",Tobias Arnold|Roger Lloyd Pack|Ruth Sheen|Hugh O'Conor,Benjamin Ross,Drama|Crime
118,1996-03-08,If Lucy Fell,Ben Stiller|Sarah Jessica Parker|Eric Schaeffer|Elle Macpherson,Eric Schaeffer,Romance|Comedy
119,1995-09-29,"Steal Big, Steal Little",Andy Garcia|Rachel Ticotin|Alan Arkin|Joe Pantoliano,Andrew Davis,Comedy
121,1992-12-06,"Boys of St. Vincent, The",Philip Dinn|Brian Dooley|Johnny Morina|Henry Czerny,John N. Smith,Drama
122,1992-07-01,Boomerang,Eddie Murphy|Halle Berry|Robin Givens|David Alan Grier,Reginald Hudlin,Romance|Comedy
123,1996-03-08,Chungking Express (Chung Hing sam lam),Tony Leung Chiu-Wai|Brigitte Lin|Takeshi Kaneshiro|Faye Wong, Kar-wai Wong,Mystery|Drama|Romance
124,1996-03-08,"Star Maker, The (Uomo delle stelle, L')",Sergio Castellitto|Franco Scaldati|Tiziana Lodato|Leopoldo Trieste,Giuseppe Tornatore,Drama
125,1996-04-12,Flirting With Disaster,Mary Tyler Moore|Téa Leoni|Patricia Arquette|Ben Stiller,David O. Russell,Comedy
126,1994-10-27,"NeverEnding Story III, The",Jack Black|Melody Kay|Carole Finn|Jason James Richter,Peter MacDonald,Fantasy|Children|Adventure
129,1996-02-09,Pie in the Sky,Josh Charles|Christine Lahti|Anne Heche|John Goodman,Bryan Gordon,Romance|Comedy
130,1995-01-01,Angela,John Ventimiglia|Anna Levine|Charlotte Eve Blythe|Miranda Rhyne,Rebecca Miller,Drama
131,1995-11-22,Frankie Starlight,Gabriel Byrne|Niall Toibin|Owen Roe|Corban Walker,Michael Lindsay-Hogg,Drama|Romance
132,1995-10-13,Jade,David Caruso|Chazz Palminteri|Linda Fiorentino|Richard Crenna,William Friedkin,Thriller
135,1996-03-01,Down Periscope,Lauren Holly|Kelsey Grammer|Harry Dean Stanton|Rob Schneider,David S. Ward,Comedy
137,1996-03-15,Man of the Year,Vivian Paxton|Michael Ornstein|Claudette Sutherland|Cal Bartlett,Dirk Shafer,Documentary
140,1996-03-01,Up Close and Personal,Robert Redford|Michelle Pfeiffer|Stockard Channing|Joe Mantegna,Jon Avnet,Romance|Drama
141,1996-03-08,"Birdcage, The",Nathan Lane|Dianne Wiest|Robin Williams|Gene Hackman,Mike Nichols,Comedy
144,1995-08-09,"Brothers McMullen, The",Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton,Edward Burns,Comedy
145,1995-04-07,Bad Boys,Michael Taliferro|Lisa Boyle|Martin Lawrence|Will Smith,Michael Bay,Thriller|Drama|Crime|Action|Comedy
146,1995-08-25,"Amazing Panda Adventure, The",Wang Fei|Stephen Lang|Yi Ding|Ryan Slater,Christopher Cain,Children|Adventure
147,1995-04-21,"Basketball Diaries, The",Leonardo DiCaprio|Marilyn Sokol|Lorraine Bracco|James Madio,Scott Kalvert,Drama
148,1995-07-21,"Awfully Big Adventure, An",Alan Rickman|Alun Armstrong|Georgina Cates|Hugh Grant,Mike Newell,Drama
149,1995-05-19,Amateur,Isabelle Huppert|Martin Donovan|Elina Löwensohn|Damian Young,Hal Hartley,Drama|Thriller|Crime
150,1995-06-30,Apollo 13,Bill Paxton|Kevin Bacon|Tom Hanks|Gary Sinise,Ron Howard,Drama|Adventure|IMAX
151,1995-04-14,Rob Roy,Liam Neeson|Jessica Lange|John Hurt|Tim Roth,Michael Caton-Jones,Romance|Drama|Action|War
152,1995-10-06,"Addiction, The",Lili Taylor|Christopher Walken|Annabella Sciorra|Edie Falco,Abel Ferrara,Horror|Drama
153,1995-06-16,Batman Forever,Nicole Kidman|Jim Carrey|Tommy Lee Jones|Val Kilmer,Joel Schumacher,Action|Adventure|Comedy|Crime
154,1968-04-10,Beauty of the Day (Belle de jour),Catherine Deneuve|Jean Sorel|Michel Piccoli|Geneviève Page,Luis Buñuel,Drama
155,1995-08-25,Beyond Rangoon,Spalding Gray|Patricia Arquette|Frances McDormand|U Aung Ko,John Boorman,War|Drama|Adventure
156,1995-10-13,Blue in the Face,Michael J. Fox|Mel Gorham|Roseanne Barr|Lou Reed,Wayne Wang|Paul Auster| Harvey Wang,Drama|Comedy
157,1995-09-22,Canadian Bacon,John Candy|Alan Alda|Rhea Perlman|Kevin Pollak,Michael Moore,War|Comedy
158,1995-05-26,Casper,Chauncey Leopardi|Cathy Moriarty|Malachi Pearson|Spencer Vrooman,Brad Silberling,Children|Adventure
159,1995-09-13,Clockers,Harvey Keitel|Delroy Lindo|John Turturro|Mekhi Phifer,Spike Lee,Drama|Mystery|Crime
160,1995-06-09,Congo,Tim Curry|Laura Linney|Dylan Walsh|Ernie Hudson,Frank Marshall,Adventure|Action|Sci-Fi|Mystery
161,1995-05-12,Crimson Tide,Denzel Washington|Gene Hackman|Matt Craven|George Dzundza,Tony Scott,Thriller|Drama|War
162,1995-04-28,Crumb,Aline Kominsky|Robert Crumb|Maxon Crumb|Charles Crumb,Terry Zwigoff,Documentary
163,1995-08-25,Desperado,Antonio Banderas|Cheech Marin|Joaquim de Almeida|Salma Hayek,Robert Rodriguez,Romance|Action|Western
164,1995-09-29,Devil in a Blue Dress,Denzel Washington|Jennifer Beals|Tom Sizemore|Don Cheadle,Carl Franklin,Mystery|Film-Noir|Thriller|Crime
165,1995-05-19,Die Hard: With a Vengeance,Bruce Willis|Samuel L. Jackson|Jeremy Irons|Graham Greene,John McTiernan,Crime|Thriller|Action
166,1995-10-27,"Doom Generation, The",Rose McGowan|Johnathon Schaech|Cress Williams|James Duval,Gregg Araki,Drama|Crime|Comedy
167,1995-10-13,Feast of July,Embeth Davidtz|James Purefoy|Tom Bell|Gemma Jones,Christopher Menaul,Drama
168,1995-07-07,First Knight,Sean Connery|Julia Ormond|Richard Gere|Ben Cross, Jerry Zucker,Romance|Action|Drama
169,1995-07-19,Free Willy 2: The Adventure Home,Francis Capra|Mary Kate Schellhardt|August Schellenberg|Jason James Richter,Dwight H. Little,Adventure|Drama|Children
170,1995-09-15,Hackers,Jesse Bradford|Jonny Lee Miller|Matthew Lillard|Angelina Jolie,Iain Softley,Action|Adventure|Crime|Thriller
171,1995-08-18,Jeffrey,Patrick Stewart|Michael T. Weiss|Steven Weber|David Thornton,Christopher Ashley,Comedy|Drama
172,1995-05-26,Johnny Mnemonic,Takeshi Kitano|Keanu Reeves|Ice-T|Dina Meyer,Robert Longo,Sci-Fi|Action|Thriller
173,1995-06-30,Judge Dredd,Jürgen Prochnow|Sylvester Stallone|Rob Schneider|Armand Assante,Danny Cannon,Sci-Fi|Crime|Action
174,1995-04-12,Jury Duty,Pauly Shore|Brian Doyle-Murray|Stanley Tucci|Tia Carrere,John Fortenberry,Comedy
175,1995-09-01,Kids,Leo Fitzpatrick|Joseph Chan|Sarah Henderson|Justin Pierce,Larry Clark,Drama
176,1995-07-21,Living in Oblivion,Steve Buscemi|Danielle von Zerneck|Dermot Mulroney|Catherine Keener,Tom DiCillo,Comedy
177,1995-08-25,Lord of Illusions,Sheila Tousey|Joseph Latimore|Kevin J. O'Connor|Scott Bakula,Clive Barker,Horror
178,1995-06-23,Love & Human Remains,Thomas Gibson|Ruth Marshall|Cameron Bancroft|Mia Kirshner,Denys Arcand,Drama|Comedy
179,1995-05-26,Mad Love,Chris O'Donnell|Richard Chaim|Drew Barrymore|Matthew Lillard,Antonia Bird,Romance|Drama
180,1995-10-20,Mallrats,Shannen Doherty|Jason Lee|Jeremy London|Claire Forlani,Kevin Smith,Comedy|Romance
181,1995-06-30,Mighty Morphin Power Rangers: The Movie,Karan Ashley|Johnny Yong Bosch|Steve Cardenas|Jason David Frank,Bryan Spicer,Children|Action
183,1995-09-15,Mute Witness,Fay Ripley|Evan Richards|Oleg Yankovskiy|Marina Zudina,Anthony Waller,Thriller|Horror|Comedy
184,1995-09-01,Nadja,Elina Löwensohn|Nic Ratner|Karl Geary|Peter Fonda,Michael Almereyda,Drama
185,1995-07-28,"Net, The",Sandra Bullock|Diane Baker|Jeremy Northam|Dennis Miller,Irwin Winkler,Action|Crime|Thriller
186,1995-07-12,Nine Months,Hugh Grant|Joan Cusack|Tom Arnold|Julianne Moore,Chris Columbus,Romance|Comedy
187,1995-06-09,Party Girl,Guillermo Díaz|Anthony DeSando|Donna Mitchell|Parker Posey,Daisy von Scherler Mayer,Comedy
188,1995-09-01,"Prophecy, The",Christopher Walken|Eric Stoltz|Virginia Madsen|Elias Koteas,Gregory Widen,Fantasy|Horror|Mystery
189,1995-11-17,Reckless,Mary-Louise Parker|Scott Glenn|Tony Goldwyn|Mia Farrow,Norman René,Fantasy|Comedy
190,1995-06-30,Safe,Julianne Moore|Julie Burgess|Dean Norris|Xander Berkeley,Todd Haynes,Thriller
191,1995-10-13,"Scarlet Letter, The",Demi Moore|Robert Duvall|Gary Oldman|Lisa Andoh,Roland Joffé,Drama|Romance
193,1995-09-22,Showgirls,Glenn Plummer|Kyle MacLachlan|Gina Gershon|Elizabeth Berkley,Paul Verhoeven,Drama
194,1995-06-09,Smoke,Giancarlo Esposito|Stephen Gevedon|José Zúñiga|Harvey Keitel,Paul Auster|Wayne Wang,Comedy|Drama
195,1995-08-04,Something to Talk About,Julia Roberts|Robert Duvall|Dennis Quaid|Gena Rowlands,Lasse Hallström,Drama|Romance|Comedy
196,1995-07-07,Species,Alfred Molina|Michael Madsen|Forest Whitaker|Ben Kingsley,Roger Donaldson,Sci-Fi|Horror
198,1995-10-13,Strange Days,Ralph Fiennes|Angela Bassett|Juliette Lewis|Tom Sizemore,Kathryn Bigelow,Crime|Action|Thriller|Sci-Fi|Mystery|Drama
199,1964-12-16,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Catherine Deneuve|Marc Michel|Anne Vernon|Nino Castelnuovo,Jacques Demy,Drama|Musical|Romance
200,1995-09-08,"Tie That Binds, The",Keith Carradine|Daryl Hannah|Vincent Spano|Moira Kelly,Wesley Strick,Thriller
201,1995-10-27,Three Wishes,Patrick Swayze|Seth Mumy|Mary Elizabeth Mastrantonio|Joseph Mazzello,Martha Coolidge,Drama|Fantasy
202,1995-11-03,Total Eclipse,David Thewlis|Leonardo DiCaprio|Dominique Blanc|Romane Bohringer,Agnieszka Holland,Drama|Romance
203,1995-09-08,"To Wong Foo, Thanks for Everything! Julie Newmar",Wesley Snipes|Stockard Channing|Patrick Swayze|John Leguizamo,Beeban Kidron,Comedy
204,1995-07-14,Under Siege 2: Dark Territory,Eric Bogosian|Everett McGill|Katherine Heigl|Steven Seagal,Geoff Murphy,Action
205,1995-09-22,Unstrung Heroes,Andie MacDowell|Michael Richards|John Turturro|Maury Chaykin,Diane Keaton,Drama|Comedy
206,1995-08-11,Unzipped,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard|Natane Boudreau,Douglas Keeve,Documentary
207,1995-08-11,"Walk in the Clouds, A",Keanu Reeves|Giancarlo Giannini|Anthony Quinn|Aitana Sánchez-Gijón,Alfonso Arau,Drama|Romance
208,1995-07-28,Waterworld,Kevin Costner|R.D. Call|Rick Aviles|Chaim Jeraffi,Kevin Reynolds,Adventure|Sci-Fi|Action
209,1995-12-01,White Man's Burden,Harry Belafonte|John Travolta|Kelly Lynch|Margaret Avery,Desmond Nakano,Drama
211,1994-10-12,"Browning Version, The",Greta Scacchi|Albert Finney|Julian Sands|Matthew Modine,Mike Figgis,Drama
213,1995-04-21,Burnt by the Sun (Utomlyonnye solntsem),Nikita Mikhalkov|Ingeborga Dapkunaite|Nadezhda Mikhalkova|Oleg Menshikov,Nikita Mikhalkov,Drama
214,1995-02-24,Before the Rain (Pred dozhdot),Katrin Cartlidge|Labina Mitevska|Grégoire Colin|Rade Serbedzija,Milcho Manchevski,Drama|War
215,1995-01-27,Before Sunrise,Andrea Eckert|Julie Delpy|Ethan Hawke|Hanno Pöschl,Richard Linklater,Romance|Drama
216,1995-02-10,Billy Madison,Bridgette Wilson|Adam Sandler|Darren McGavin|Bradley Whitford,Tamra Davis,Comedy
217,1995-10-17,"Babysitter, The",Alicia Silverstone|J.T. Walsh|Jeremy London|Lee Garlington,Guy Ferland,Drama|Thriller
218,1995-02-03,Boys on the Side,Whoopi Goldberg|Drew Barrymore|Mary-Louise Parker|Matthew McConaughey,Herbert Ross,Comedy|Drama
219,1995-04-21,"Cure, The",Joseph Mazzello|Annabella Sciorra|Brad Renfro|Aeryk Egan,Peter Horton,Drama
