event_name,count
Generó asiento contable,55
Generó comprobante de compra,235
Generó comprobante de venta,496
Generó orden de pago,130
Generó recibo de cobro,170
Generó un ajuste de inventario,14
Generó un remito,18
Guardó un nuevo usuario invitado de tipo POS,1
Importacion Asientos,21
Importacion Clientes,51
Importacion de Factura de Compra,7
Importacion de Factura de compra - Mis comprobantes,1
Importacion de items,21
Importar proveedores,3
Imprimir Facturas Masivamente,8
Imprimió comprobante de venta,373
Imprimió orden de compra,24
Invita usuario Pos,2
Login,8458
Modificó perfil,66
NPS Ask Me Later Selected At (Appcues),229
NPS Clicked Update NPS Score (Appcues),2
NPS Feedback (Appcues),22
NPS Score (Appcues),49
NPS Survey Started (Appcues),420
PAGE_VIEW,3
Pedido de desactivación,9
Platinum B,1
Quiero que me llamen,24
Realizó canje interno de caja,5
Realizó depósito de cheques,3
Realizó depósito o extracción de efectivo,9
Reenviar validación email,18
Registro,38
Reporta en ARBA,28
Reporte en Moneda Extranjera (Appcues),204
Respondió Encuesta,6
Seleccionó agregar remito,289
Seleccionó agregar ítem,821
Seleccionó invitar usuario,55
Seleccionó la opción actualizar precios en pantalla masivo,341
Seleccionó la opción agregar chequera,20
Seleccionó la opción agregar cuenta de tesorería,465
Seleccionó la opción asiento de ajuste por inflación,46
Seleccionó la opción asiento de cierre y apertura,21
Seleccionó la opción asiento de refundición,12
Seleccionó la opción conciliar,1075
Seleccionó la opción de configurar delegación factura electrónica,250
Seleccionó la opción editar en fila a importar con error,3
Seleccionó la opción eliminar en filas a importar con error,7
Seleccionó la opción nuevo plan de cuentas,144
Seleccionó la opción para agregar un comprobante de compra,909
Seleccionó la opción para agregar un comprobante de venta,3044
Seleccionó la opción perfil,621
Seleccionó la opción recomendá y ganá,75
Seleccionó opción para importar,2867
Step Completed (Appcues),66
Step Interacted (Appcues),112
Step Skipped (Appcues),685
Step Started (Appcues),984
Subió archivo para importar,108
Subscription Billed,15
Validó email,3
Vende productos,25
Vende productos o servicios,18
Vende servicios,14
Vio anuncio e hizo click en importación factura de compra,2
Visualizó aviso para delegar factura electrónica,10292
Visualizó detalle de importación,854
Visualizó inicio colppy,4400
Visualizó ventana de upsell,2
Website,110
Website_CTA_Button,3
Website_Price_Button,1
app abrió consultar productos,1
app abrió detalle de comprobante de compra,8
app abrió detalle de comprobante de venta,97
app abrió el alta de comprobante de venta,3
app abrió el módulo clientes,182
app abrió el módulo facturas,274
app abrió el módulo proveedores,93
app abrió el módulo tablero,346
app abrió escanear productos,1
app agregó un cliente,3
app cambió de empresa,56
app cambió filtro de facturas de clientes,3
app compartió comprobante de venta,11
app configuró facturación por defecto,3
app generó recibo de cobro,17
app imprimió comprobante de venta,4
app login,123
app seleccionó el listado de Bancos,20
app seleccionó el listado de Cajas,13
app seleccionó el listado de Tarjetas de crédito,10
app seleccionó el listado de facturas borrador,67
app seleccionó el listado de facturas cobradas,86
app seleccionó el listado de facturas impagas,102
app seleccionó el listado de facturas impagas proveedores,19
app seleccionó el listado de facturas pagadas,25
app seleccionó el listado de proveedores,12
app seleccionó lista de precios en la factura,4
app seleccionó ver más facturas,7
app validó que no tiene datos de facturación por defecto,237
record,82
