accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day
22,3.0514,5.8512,163,2.1158,1,7.0655,7.702,217.862,214.441
19,4.844,4.4291,1.741,3.6991,0,318.069,1.3782,8.874,5.7279
12,8.3621,3.418,4.885,3.3576,1,372.543,1.4832,437.812,3.7278
18,8.7466,3.1965,8.227,1.0664,1,234.008,2.6145,453.992,5.9468
31,1.0626,8.1043,2.787,1.6954,1,300.144,2.6763,916.458,3.3259
22,5.5967,6.897,5.226,2.5656,1,7.7943,1.76,136.559,191.636
21,4.7567,7.2487,345,3.1892,0,158.398,8.442,618.845,21.673
29,2.999,6.9812,1.048,2.7145,1,356.442,2.4553,326.506,7.3762
27,2.0788,3.1097,9.583,2.3649,1,182.446,2.3786,132.362,210.462
20,4.0385,9.966,8.547,2.2158,1,174.406,2.3939,399.216,1.3208
8,9.4862,2.7247,785,2.4913,1,9.6996,491,433.658,162.566
31,3.9088,8.3179,7.198,2.1718,1,297.412,2.2616,369.929,12.6598
26,5.6691,9.8047,3.476,2.7067,1,404.769,2.5582,768.075,6.6418
21,7.3272,4.9385,9.948,4.4399,1,234.723,1.8151,840.814,184.368
16,4.2727,97,3.024,3.1641,1,5.777,2.2537,157.244,5.0891
13,9.746,1.4004,2.387,3.6131,1,419.184,2.3285,176.226,9.9876
13,9.662,3.2208,5.679,2.9874,1,3.5699,1.5198,427.005,170.366
26,3.266,5.7859,8.351,3.2151,1,235.864,2.4409,326.987,8.1175
18,5.4752,7.509,1.925,2.8917,0,130.539,2.3769,821.378,205.286
33,3.7079,9.4336,7.094,1.343,1,468.159,2.7483,996.843,207.702
21,3.5636,3.6508,614,4.998,1,368.772,2.7641,189.299,4.8607
33,1.332,9.1258,9.189,168,1,283.204,1.5891,764.919,10.5694
16,6.4861,7.8052,811,1.9757,0,333.878,945,611.174,10.3683
21,5.5241,7.5544,9.142,5.256,0,266.364,573,64.798,9.8411
29,1.4633,6.0672,4.908,4.846,0,7.38,2.8168,271.797,12.0473
24,3.5078,6.2678,4.481,3.9676,1,354.549,1.0121,10.6224,1.7848
16,9.1744,6.38,9.733,2.1296,0,246.337,1.1326,547.824,208.812
25,3.1561,6.2872,9.904,4.1957,1,317.155,1.4097,617.371,6.958
23,2.3041,5.5373,6.502,1.3639,1,2.2601,7.974,963.418,435
25,5.4051,9.8641,1.271,1.2823,1,7.1017,1.7712,678.479,164.425
17,9.8709,7.3229,5.062,1.2562,0,294.685,2.3539,449.247,156.113
28,3.1785,7.7695,5.292,3.0807,1,229.714,772,994.061,235.959
21,7.0492,8.7246,5.144,4.075,1,11.3437,2.2292,379.507,172.619
13,7.8546,2.1564,5.695,2.2613,0,12.038,2.0161,170.933,7.9849
23,3.1387,838,187,1.8962,1,315.829,1.5768,62.18,228.628
13,7.5539,4.8289,7.112,4.8679,1,2.9484,9.763,273.588,8.7683
29,4.31,5.1408,7.124,5.838,1,217.129,2.6183,922.983,197.099
22,6.6908,8.2918,1.155,2.4332,1,261.552,1.2084,43.359,8.0562
14,6.7018,4.4378,5.702,2.0424,0,154.071,1.124,15.812,1.169
25,5.822,5.7085,5.684,4.906,1,410.275,1.9241,150.214,176.108
28,1.8126,5.2707,6.825,1.341,1,2.8385,2.761,653.143,8.4051
14,8.5177,382,854,1.422,1,432.891,1.5241,372.238,8.1333
26,3.887,6.1521,6.265,4.3848,1,361.631,2.1681,370.087,171.804
25,2.6787,8.2804,2.808,3.0392,0,223.127,1.3706,616.201,7.7289
20,1.367,1.575,507,4.0751,0,462.234,6.564,229.297,2.8323
18,6.318,5.9433,7.733,2.6078,0,351.119,3.719,153.974,9.7082
19,7.0981,5.9361,7.056,2.9975,0,465.523,409,66.069,197.723
18,1.1493,1.6418,1.189,3.5043,0,236.295,64,1.5185,3.1249
17,5.6088,1.2346,5.912,4.5401,1,226.487,1.6587,908.291,133.075
28,3.0385,9.8005,9.691,4.588,1,265.371,3.933,191.141,3.1742
17,6.8066,3.9372,1.568,1.6547,1,3.2713,2.5971,453.377,1.1804
27,2.5693,2.2742,8.529,3.5451,1,454.247,2.9487,219.364,9.089
15,7.2184,1.7132,7.025,4.7918,1,333.859,1.4876,226.037,157.892
21,4.4806,6.676,774,4.904,1,308.793,1.349,836.651,6.5997
15,9.4306,6.0945,282,3.1905,0,463.232,1.0442,589.183,10.6975
29,2.2377,6.4355,2.879,968,1,496.819,1.9141,318.336,11.7919
20,4.0696,8.801,906,596,0,8.1697,1.8241,258.588,20.191
27,2.0213,8.9353,3.598,4.7302,0,374.498,1.0301,220.734,196.555
13,9.3222,3.8927,63,2.1696,1,289.973,1.0295,558.904,563
15,8.8961,3.1337,6.006,9.741,1,230.499,1.9344,733.482,9.9341
24,3.3215,4.6236,1.248,4.6695,1,488.806,1.6636,260.992,157.462
23,6.9399,3.9007,7.966,5.226,1,425.132,2.1557,338.978,204.575
21,8.355,8.6358,6.417,3.6479,0,348.375,2.8242,723.162,1.1735
26,5.9968,9.2926,8.747,3.1263,1,191.338,2.3388,739.905,15.078
20,5.7669,3.0345,7.848,4.387,0,33.302,913,21.525,202.085
26,3.1767,8.6394,1.121,1.6937,0,265.847,2.2774,38.838,6.1218
28,1.8379,7.8152,3.811,7.497,0,12.4684,1.3501,871.258,4.9262
20,9.0749,9.3081,7.746,3.0225,1,225.191,2.333,74.279,11.2284
17,9.1038,2.4575,4.173,2.3856,1,10.6106,2.6597,17.087,231.019
21,6.6979,5.7696,9.724,214,1,25.021,7.498,392.103,166.293
20,4.0513,2.7454,7.357,4.8786,1,360.119,7.159,973.561,10.1876
21,4.1429,8.2409,155,1.7479,1,1.8323,1.2979,530.124,5.007
14,7.5336,532,0.88,1.291,1,38.269,1.546,722.153,133.614
16,9.074,5.6482,1.008,1.1122,1,9.997,2.0571,10.1115,8.3709
18,8.9838,3.392,1.405,7.941,1,258.639,2.2491,834.185,4.4571
15,8.0189,3.2268,7.345,4.9957,1,286.738,1.0363,608.737,12.1936
21,6.7783,6.4491,865,1.4755,1,380.622,1.3959,183.844,8.1932
29,1.7573,8.5148,5.363,2.0276,1,380.514,1.7711,38.641,9.294
23,2.4547,6.092,289,4.3568,1,208.728,2.208,9.2197,174.121
18,9.087,8.5317,3.513,3.2094,1,3.3186,2.1339,77.924,17.582
18,6.4579,2.646,3.429,1.8435,1,34.675,1.5801,74.743,14.852
27,1.0828,5.195,3.267,4.4916,1,255.493,1.8728,495.329,201.797
25,1.9132,4.5054,2.429,3.7486,1,166.529,2.1715,457.496,4.8764
15,6.9715,1.164,6.089,1.1395,0,11.7437,2.0267,46.879,6.8688
24,1.0456,5.5681,9.004,3.2187,1,5.9879,286,4.7092,11.1977
27,2.4473,6.6152,3.071,4.612,1,147.571,2.3478,374.563,1.4442
21,5.9386,5.9191,1.867,2.4823,0,229.245,1.8301,137.219,212.051
23,7.2271,7.3628,8.386,3.6681,1,238.805,2.1446,192.944,11.7751
17,6.8677,5.7134,7.418,4.8555,1,291.369,7.845,962.496,7.7919
17,3.0184,6.675,9.308,3.4521,0,181.234,6.643,269.167,11.4711
16,7.4096,1.1645,1.655,5.122,0,459.949,2.4783,488.789,7.8031
25,3.1352,5.9647,1.443,1.2228,1,247.935,1.1712,888.915,6.8703
22,3.9286,2.7498,5.414,2.9755,1,211.863,1.726,419.356,10.7524
13,7.7184,7.965,6.144,1.3778,0,2.4084,1.6548,533.332,11.5657
18,6.8467,4.296,4.802,4.7877,1,299.508,1.7555,17.71,10.4003
16,8.643,5.5432,599,2.0268,1,301.434,2.085,292.229,131.503
16,6.9185,3.2875,1.804,2.2862,1,291.645,9.074,511.053,188.011
17,6.1148,7.2043,4.796,3.508,1,443.798,1.994,371.252,1.3744
28,1.8431,6.4377,6.581,2.6212,0,38.145,1.4405,4.7873,194.764
25,4.3094,3.3282,4.327,1.9107,1,433.703,2.7063,406.821,5.4848
26,3.3868,7.5487,6.794,3.832,1,2.9711,1.1675,816.955,6.0502
27,3.1959,6.487,4.512,2.9822,1,159.063,2.3473,12.4899,143.872
11,9.7571,6.3745,3.336,4.3379,1,159.356,8.617,2.8544,234.161
22,4.5379,5.5343,3.036,3.4288,0,328.523,2.5688,12.7516,4.176
11,9.0284,1.139,4.109,1.9075,0,224.308,1.2585,690.001,161.552
21,6.6802,6.9651,231,6.386,0,388.736,1.0657,796.698,167.255
13,8.1533,3.7604,6.685,4.0817,0,192.215,2.0924,5.8239,137.676
22,5.5237,9.4261,8.451,4.7087,1,11.0804,1.5383,888.675,2.326
21,6.1921,8.1798,3.546,1.9414,1,145.476,1.012,631.052,145.524
15,5.4327,5.8769,46,3.6432,0,9.1235,1.743,52.295,2.7605
19,2.7572,2.5218,9.868,2.0538,0,9.8946,4.999,261.056,1.8736
14,7.5021,2.0372,2.637,2.5113,0,10.8419,2.317,377.983,167.055
22,3.527,3.4038,1.266,4.1824,1,8.047,2.7622,947.504,168.056
29,1.2188,4.7657,3.698,4.171,1,358.044,5.065,912.431,213.579
18,6.8093,2.9607,7.386,2.6517,1,199.801,1.7083,62.921,811
24,2.594,5.1493,2.939,1.0731,1,1.1336,1.025,583.122,9.0902
10,9.4641,1.6537,5.747,1.699,1,185.004,8.725,218.439,2.945
16,9.5854,9.7771,4.156,3.2221,0,452.684,1.3464,953.746,8.7519
15,9.2338,1.0792,1.178,1.361,1,255.622,2.2076,757.838,11.7998
23,4.3314,9.3194,3.303,2.9691,1,493.376,1.323,388.437,12.7135
33,1.1391,9.1358,7.249,1.4172,1,26.998,2.3437,817.673,8.5424
15,9.3549,5.2536,612,3.3474,1,481.399,6.079,219.756,174.072
26,4.8537,7.2491,1.198,7.079,1,10.09,2.2786,221.096,9.9743
12,9.6999,4.3605,1.633,3.6791,0,144.967,1.8764,793.052,12.411
14,9.6726,6.3003,6.407,3.2282,0,349.985,1.0187,563.715,192.021
17,8.6771,3.4058,8.134,4.8562,1,493.411,2.1713,560.277,4.1833
18,3.65,3.0116,3.495,4.5562,0,412.649,709,577.934,7.7015
22,4.4659,5.7823,5.953,1.4165,0,276.853,6.592,134.549,12.5143
17,8.6602,4.9813,1.706,1.366,1,4.2576,1.852,356.063,184.228
21,3.8523,5.7954,3.114,3.2768,1,18.219,1.1792,577.349,10.2085
19,2.5254,2.8666,203,3.0144,1,4.3213,2.931,255.113,1.7464
21,6.0112,3.6696,7.683,1.371,0,155.641,1.2585,508.965,237.319
9,9.4254,839,401,6.134,0,12.9396,294,561.465,169.899
15,7.2643,5.228,8.161,2.9235,1,194.278,4.653,943.386,173.456
20,6.1306,2.5346,7.084,4.5591,1,418.638,2.7971,253.318,11.1625
24,1.8746,7.425,8.287,4.5325,1,7.5188,2.3867,444.964,13.129
17,6.5351,1.0377,2.857,7.574,1,153.032,7.085,981.696,238.572
17,9.9105,8.1293,1.851,1.9229,1,130.559,2.1549,194.922,142.828
24,2.2608,3.887,9.719,216,0,148.071,2.1954,782.219,5.2543
20,5.665,6.5894,7.173,2.3464,0,180.312,5.308,185.383,231.451
10,8.8964,2.7256,834,3.7654,0,12.2156,1.1132,851.546,12.9063
22,7.6669,8.7155,131,3.9499,1,471.291,2.7411,493.094,4.962
18,7.2731,4.8499,3.545,2.4949,0,210.051,2.2162,97.244,137.604
17,7.3224,3.0558,7.428,4.793,1,5.7057,2.281,178.374,1.6914
24,4.2354,5.1764,78,1.9068,1,233.829,1.6917,691.047,12.6621
20,3.6423,3.8196,5.673,4.6605,0,9.2216,1.9966,698.326,19.808
17,8.2843,5.643,4.291,1.1481,1,10.8065,1.5262,721.687,12.9328
12,8.291,1.1453,176,1.5988,1,142.521,2.2227,10.9959,8.9629
19,8.8037,9.9699,236,3.7341,1,6.238,2.1982,295.675,211.826
15,9.2192,4.2556,2.848,3.6679,1,360.559,932,344.637,222.622
16,5.6021,3.4823,1.119,4.561,0,395.973,1.8953,331.045,8.3398
24,5.5136,7.1021,6.315,1.9406,1,197.142,1.8894,678.271,11.9748
14,8.1847,3.639,2.424,2.573,0,344.496,202,6.4281,235.901
20,6.8497,8.3327,2.776,2.337,1,194.477,1.2311,732.778,4.2744
18,7.3177,4.5427,8.982,4.6388,1,8.2039,2.6964,531.319,7.1557
19,8.1621,7.1956,4.671,3.8467,1,198.584,2.8603,181.267,10.2821
11,09.01,1.0745,3.921,4.1572,0,278.494,2.3466,233.858,2.4213
23,4.042,8.4612,7.239,6.655,1,2.0497,4.544,10.6605,6.529
26,4.3802,7.3572,9.096,3.9592,1,327.242,1.1242,464.468,130.725
21,1.8458,2.1172,25,2.1649,1,371.304,5.477,598.972,5.484
21,6.2045,1.4529,4.482,1.167,0,429.985,1.9564,585.162,164.708
29,1.3235,3.1629,6.108,3.004,1,5.1385,2.3194,962.744,8.3441
23,5.1904,9.7607,3.186,3.3895,0,47,2.6513,303.006,2.1551
20,5.8838,2.5683,7.724,1.8601,0,3.6633,2.5819,764.459,183.488
22,3.5789,4.5613,9.715,4.3406,1,462.058,2.976,725.847,13.618
13,6.3175,3.002,9.434,3.6714,0,382.778,377,7.0714,197.969
32,1.2745,3.9723,266,1.084,1,417.718,2.729,930.705,8.6436
28,1.3361,5.7132,2.263,3.4344,1,258.507,2.5314,931.991,4.651
19,8.4034,9.5312,9.575,9.618,1,26.336,1.3811,402.372,1.1205
20,4.2417,5.1674,4.586,2.1129,0,149.253,1.2902,423.501,190.908
27,2.1435,8.1911,2.083,3.1237,0,421.377,1.6584,821.401,9.8554
22,5.7002,5.4713,707,4.3636,0,414.885,1.7899,50.008,234.333
11,7.9299,4.079,2.844,2.2805,0,196.086,7.626,801.209,199.274
19,2.9424,3.1501,2.672,4.0425,1,164.634,1.2112,4.5764,3.869
21,6.606,5.7555,8.792,3.9148,1,369.187,1.8591,257.768,208.795
27,1.7681,9.5059,1.625,2.0727,1,1.3084,6.188,10.0154,5.1088
33,1.4651,8.5913,644,2.5049,1,429.974,2.9965,459.656,11.6704
16,5.7822,2.2836,2.692,3.5024,0,223.124,8.488,855.618,12.1469
16,5.8657,2.2011,6.069,1.557,0,220.672,1.6572,57.409,1.4333
15,6.7369,2.0117,1.231,4.4541,1,334.539,1.6625,52.513,3.016
21,7.5348,9.225,4.716,3.8491,1,322.875,1.3545,372.446,10.1531
17,9.7827,8.5267,6.273,1.2471,1,132.987,7.246,7.2974,154.229
22,5.6467,7.7488,8.487,4.9059,0,471.639,1.6961,768.746,6.346
20,3.9066,3.9274,2.299,897,0,493.165,273,575.058,12.6336
14,8.1567,5.0438,8.173,4.5704,0,262.995,1.1608,931.656,9.0992
23,3.4375,4.6433,2.349,1.6224,1,28.069,6.728,437.646,151.287
14,4.9507,2.534,6.768,3.8157,0,277.159,3.725,407.485,10.1865
32,1.7061,5.0503,4.307,2.2819,1,242.894,2.7764,974.604,204.392
23,1.2282,305,1.147,3.6823,1,472.594,2.0998,149.746,236.099
10,9.6638,1.3181,7.143,7.789,1,12.2376,5.065,259.838,219.132
17,8.5238,8.8659,2.178,1.3475,0,5.3979,2.8482,493.283,4.0465
21,7.2638,7.5168,1.766,4.993,1,464.774,648,528.309,10.9723
16,4.6806,4.2287,3.583,4.3257,0,10.6519,7.068,553.229,11.0116
25,2.5596,5.1715,6.533,1.4815,1,374.578,3.998,219.989,201.712
23,2.4079,3.7,234,3.4724,0,10.1937,2.1836,92.758,8.5725
25,3.2522,7.4078,1.837,4.1011,0,480.093,1.7126,706.467,131.904
17,5.943,7.8419,0.01,4.5071,1,395.561,1.748,265.855,146.227
19,7.4314,7.6329,4.716,5.315,1,459.359,759,301.251,2.6765
21,6.9418,7.2261,4.286,4.4651,0,475.492,1.598,881.555,133.911
23,3.5194,2.045,2.339,9.863,1,4.2212,1.9546,386.552,5.9242
12,9.5938,3.3797,537,3.6845,0,216.694,2.4686,56.08,4.9588
15,7.6411,4.6985,4.293,3.6442,0,32.405,1.4348,12.9223,6.1976
23,5.9892,3.3079,7.882,425,1,401.228,2.0296,259.215,2.3844
22,6.5055,7.5494,7.153,1.1031,0,12.0736,2.201,422.411,1.6735
23,4.7764,3.2935,8.608,2.4595,1,457.302,1.8392,659.576,155.248
19,3.2296,1.3823,96,2.1002,1,11.0488,1.0566,287.418,225.835
22,4.2038,3.9904,9.664,4.5929,1,433.088,3.957,951.254,16.512
20,7.8206,9.7991,3.414,1.7987,0,256.356,1.9426,228.015,7.4845
25,1.1295,2.2588,9.904,4.6849,1,257.711,2.3061,781.118,8.0411
26,2.0447,6.1216,2.526,2.2971,1,187.003,5.695,370.953,12.9933
25,1.414,4.3297,4.715,4.8218,1,5.1753,1.4846,835.067,207.912
20,1.3666,7.102,3.539,3.6868,0,173.545,1.1917,923.875,4.8591
11,8.6991,4.8788,3.558,4.1467,1,213.368,6.171,195.145,11.2443
20,7.3329,7.0216,8.423,5.244,1,239.511,7.359,496.562,11.9747
21,5.2676,5.1322,7.464,2.9307,1,369.548,713,162.822,223.494
30,1.8805,8.7211,9.922,7.135,1,176.035,1.2568,708.767,12.8677
19,5.4245,2.8894,6.135,1.4881,1,203.296,1.1714,833.916,187.406
18,5.2612,8.625,4.633,3.1178,0,453.049,1.6625,395.573,2.1072
25,2.5588,9.3657,901,3.6311,0,376.284,2.796,402.783,7.8462
21,4.9047,3.782,9.966,1.959,0,1.1428,1.7438,211.801,146.742
18,4.5865,5.7641,5.515,2.6547,0,406.044,655,313.469,162.633
21,6.5427,7.92,7.005,2.8266,1,494.972,7.721,330.654,212.451
20,6.7158,3.2431,4.067,3.941,1,469.884,1.5064,164.019,141.702
28,1.4077,7.1616,5.477,2.5034,1,417.978,2.0608,316.853,6.9499
22,4.3715,1.3542,9.426,3.5692,1,314.587,2.3138,908.184,12.9383
13,6.6327,2.9129,1.664,2.661,1,139.096,1.067,332.132,170.767
16,5.5282,1.4471,2.924,3.8013,0,327.215,1.6125,281.693,188.243
18,8.7084,8.1123,1.521,2.8821,1,347.796,1.0633,390.796,22.67
16,6.9282,2.2265,7.922,4.1661,1,140.779,2.0847,96.067,4.5781
