title,heading,content,tokens
Portugal,ATLANTIC INTERACTIONS - ATLANTIC INTERNATIONAL RESEARCH CENTRE,"Portugal's ATLANTIC INTERACTIONS - ATLANTIC INTERNATIONAL RESEARCH CENTRE (2017 - Ongoing). Atlantic Interactions is a new intergovernmental initiative to unleash the potential of the Atlantic for Society. It fosters knowledge-driven solutions for the Atlantic and Global Societal challenges that require interdisciplinary research and innovation of complex Earth systems through cooperation targeting the Atlantic. It has the following objectives: To foster new paradigms of interaction across the Atlantic and across disciplines to foster new knowledge on ocean, climate and energy sustainability taking advantage of the most advanced technologies to build new and integrated knowledge.It uses Strategies, agendas and plans, Creation or reform of governance structure or public body as policy instruments.",110
Belgium - Federal government,BELGIAN BIODIVERSITY PLATFORM,"Belgium - Federal government's BELGIAN BIODIVERSITY PLATFORM (2010 - Ongoing). The Belgian Biodiversity Platform provides services to the Belgian scientific community engaged in biodiversity research and to policy-makers as well as to practitioners. As a science-policy interface on biodiversity, our work is based around 3 main areas: knowledge brokerage, topical knowledge incubation, Open access to data. It has the following objectives: Answering policy needs.Catalysing the improvement of research processes.Knowledge interfacing and sharing.Enabling data publication and data use.It uses Institutional funding for public research as policy instruments. and it has a budget of Less than 1M euros.",96
Belgium - Federal government,FED-tWIN,Belgium - Federal government's FED-tWIN (2017 - Ongoing). FED-tWIN is a federal research program of sustainable research cooperation between the federal scientific institutes and the Belgian universities. It has the following objectives: To fund common research profiles to be performed by PhDs committed half-time in each of the 2 institutions.Info related to the date : Legal basis in 2017 (Law) & 2018 (Royal decree) - First budgetary commitment in 2019It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,87
Portugal,EXPLORATORY RESEARCH PROJECTS,"Portugal's EXPLORATORY RESEARCH PROJECTS (2012 - Ongoing). Provide quick support for research in new concepts and/or ideas, with reduced and simplified administrative procedures It has the following objectives: Support innovative ideas in all research domains to foster the development of emerging research areasContribute to the generation of new knowledge or the advancement of a research fieldIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",73
Argentina,LATINAMERICAN CENTRE FOR INTERDISCIPLINARY TRAINING,Argentina's LATINAMERICAN CENTRE FOR INTERDISCIPLINARY TRAINING (2015 - Ongoing). The Center organizes activities aimed at training Latin-American scientist at solving complex problems that require an interdisciplinary approach. It has the following objectives: To train Latin-American scientists in fields that are in the boundary of different disciplines.To boost research in complex problems that demand an interdisciplinary approach.To help build networks for scientific research in Latin America.To provide a working environment that favours disruptive and creative ideas in science.It uses Fellowships and postgraduate loans and scholarships as policy instruments. and it has a budget of Less than 1M euros.,97
Argentina,NON-COMPETITIVE FUNDING OF THE ARGENTINE NATIONAL SYSTEM OF SCIENCE AND TECHNOLOGY,"Argentina's NON-COMPETITIVE FUNDING OF THE ARGENTINE NATIONAL SYSTEM OF SCIENCE AND TECHNOLOGY (1956 - Ongoing). Non-competitive funding provided by the most important public institutions that carry on Science and Technology in Argentina. It has the following objectives: Each of the institutions that are part of the National System of Science, Technology and Innovation promote basic and applied research in different sectors with the same objective: to serve the country‘s integral development. That is why, articulation between the system’s institutions, usually government agencies, is so important.CONICET’s objective is the promotion of S&T in Argentina in different fields of knowledge.INTA’s objective is to carry out research and technological innovation activities in value chains, regions and territories to improve competitiveness and sustainable rural development in the country.CNEA’s objective is to advise the Executive on the development of nuclear energy policies aimed to provide technological support to the various domestic industry sectors.CONAE’s objective is to design, implement, monitor, manage and administration of space projects, activities and undertakings nationwide.It uses Institutional funding for public research as policy instruments. and it has a budget of 1M-5M euros.",181
Austria,AUSTRIAN PUBLIC DATABASE OF RESEARCH INFRASTRUCTURES,Austria's AUSTRIAN PUBLIC DATABASE OF RESEARCH INFRASTRUCTURES (2011 - Ongoing). The database of research infrastructures is a database containing Austrian research infrastructure and their specific competencies. It has the following objectives: To provide a database of Austrian research infrastructure to support collaboration.It uses Information services and access to datasets as policy instruments.,52
Lithuania,LITHUANIAN ROADMAP FOR RESEARCH INFRASTRUCTURES,"Lithuania's LITHUANIAN ROADMAP FOR RESEARCH INFRASTRUCTURES (2011 - Ongoing). A long-term strategic planning tool for research infrastructures of national importance, including information about Lithuanians current and planned memberships in international research infrastructures. The roadmap is not a funding initiative. It has the following objectives: To identify strategic directions for infrastructure developmentset long-term priorities for research infrastructure policy and development.It uses Strategies, agendas and plans as policy instruments.",67
Lithuania,R&D ASSESSMENT AND FUNDING SYSTEM FOR HIGHER EDUCATION AND RESEARCH,"Lithuania's R&D ASSESSMENT AND FUNDING SYSTEM FOR HIGHER EDUCATION AND RESEARCH (2017 - Ongoing). A two-stage R&D assessment and funding system was introduced in Lithuania in 2017, reforming the allocation of State budget funds for R&D to universities and research institutes It has the following objectives: nanIt uses Institutional funding for public research, Policy intelligence (e.g. evaluations, benchmarking and forecasts) as policy instruments.",63
Brazil,RESEARCH PRODUCTIVITY GRANT,"Brazil's RESEARCH PRODUCTIVITY GRANT (1991 - Ongoing). A competitive program for supporting researchers with a grant, in all areas of knowledge, in several levels. It has the following objectives: Value researchers who have prominent scientific, technological and innovative production in their respective areas of knowledge.Encourage the scientific, technological and innovative production with quality.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",70
Lithuania,RESEARCHER GROUPS PROJECTS,"Lithuania's RESEARCHER GROUPS PROJECTS (2010 - Ongoing). This competitive research funding measure has the highest number of projects funded and is the second largest RCL‘s measure by allocated financial resources. The bottom-up nature of this measure ensures that the most creative, innovative and ambitious research ideas of researcher teams’ in all scientific areas will be funded. It has the following objectives: To support excellent research on a bottom-up basis without predetermined prioritiesTo promote international cooperation.To promote interdisciplinary research.To encourage engagement of young researchers.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",100
Denmark,INTERNATIONAL NETWORK PROGRAMME,"Denmark's INTERNATIONAL NETWORK PROGRAMME (2009 - Ongoing). The International Network Programme (INP) is aimed at giving researchers from both the public and the private sector an opportunity to establish networks with researchers from selected countries of strategic priority to the Danish Agency for Higher Education and Science. It has the following objectives: International Network Programme supports network activities between Danish and foreign researchers from Brazil, China (incl. Hong Kong), India, Israel, Japan, USA, the Republic of Korea, and South Africa. For applications with an Arctic focus, partner countries may also include Canada, Russia, Finland, Iceland, Norway, Sweden, Greenland and/or the Faroe Islands.Funding may be awarded to projects where there is not already an established collaboration between the project partners. The aim of the programme is to give researchers an opportunity to build the foundation for future cooperation and to explore new research partnerships of a potentially high value. Thus, the scheme funds networking activities and not traditional research activities.It uses Grants for business R&D and innovation, Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",182
Argentina,REFORM OF THE INCENTIVES PROGRAM FOR RESEARCHERS AT UNIVERSITIES,"Argentina's REFORM OF THE INCENTIVES PROGRAM FOR RESEARCHERS AT UNIVERSITIES (2017 - Ongoing). Reform the Program through the creation of a National System of University Researchers (SiNDIU) to prioritize scientific research and experimental development (R&D) in the field of national universities, and highlight the role that these develop within the Argentine scientific-technological system. It has the following objectives: Contribute to the strengthening of research in the university field.Improve the scientific and technological productivity of the research faculty.Establish homogeneous criteria to evaluate scientific and technological activity.Tend to convergence with other researchers systems in the country.It uses Institutional funding for public research as policy instruments. and it has a budget of 1M-5M euros.",111
Austria,COMPLEXITY SCIENCE HUB VIENNA,"Austria's COMPLEXITY SCIENCE HUB VIENNA (2015 - Ongoing). The Complexity Science Hub Vienna pools varying initiatives in Austria regarding Complexity Science, System Analysis and Big Data Science It has the following objectives: Different institutions have different focal points and interests regarding Complexity Science. Complex systems comprise not only social, financial, socio-economic and organic systems, but also concern cities, infrastructure, traffic & supply, public administration and communication. Hence, by pooling these resources, the generation of knowledge can be accelerated and international relevance and visibility are improved.It uses Policy intelligence (e.g. evaluations, benchmarking and forecasts) as policy instruments. and it has a budget of Less than 1M euros.",106
Finland,ACADEMY OF FINLAND PROGRAMME FOR DEVELOPMENT RESEARCH,"Finland's ACADEMY OF FINLAND PROGRAMME FOR DEVELOPMENT RESEARCH (2017 - Ongoing). The Academy Programme for development research (Develop) provides funding to multidisciplinary, problem-based research that targets global development issues, helps boost development in developing countries and makes good use of Finnish knowledge and expertise in the field. It has the following objectives: produce knowledge that can help solve problems related to, for example, health, natural resources, the economy and educationbrings knowledge on how international, national and cultural systems work and about the limitations that these systems present to and the opportunities they offer for developmentIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",112
Thailand,THAILAND GRAND CHALLENGES RESEARCH PROGRAMME,Thailand's THAILAND GRAND CHALLENGES RESEARCH PROGRAMME (2014 - Ongoing). Thailand Grand Challenges Program is an integrated and interdisciplinary research program with clear targets It has the following objectives: To support research projects promising results that can be practically utilized with high social and economic impact for the country.It uses Project grants for public research as policy instruments. and it has a budget of Less than 1M euros.,67
Belgium - Flanders,"INTERNATIONALISATION SUPPORT SCHEMES (MOBILITY, COOPERATION, CONTACTS) FROM FWO","Belgium - Flanders's INTERNATIONALISATION SUPPORT SCHEMES (MOBILITY, COOPERATION, CONTACTS) FROM FWO (1993 - Ongoing). FWO support schemes for internationalisation. It has the following objectives: To support international mobility, international cooperation and international contacts.It uses Project grants for public research, Fellowships and postgraduate loans and scholarships as policy instruments.",48
Belgium - Brussels Capital,JOINT R&D PROJECT,"Belgium - Brussels Capital's JOINT R&D PROJECT (2017 - Ongoing). The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities. It has the following objectives: To foster R&D related collaboration between academia and industry in the Brussels-Capital Region.It uses Grants for business R&D and innovation, Grants for business R&D and innovation as policy instruments. and it has a budget of 1M-5M euros.",97
Belgium - Brussels Capital,PROSPECTIVE RESEARCH PROGRAMME,"Belgium - Brussels Capital's PROSPECTIVE RESEARCH PROGRAMME (2017 - Ongoing). Through its Prospective Researchprogramme, Innoviris is financing projects led by academic researchers at a Brussels university or college which focus on the future and cover areas of importance to the Brussels Capital Region. It has the following objectives: To develop and enrich the knowledge available on Brussels urban complexity. The recent thematic calls for the programme were focused on sustainable tourism and the future of governance.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",93
Belgium - Brussels Capital,Co-Creation,"Belgium - Brussels Capital's Co-Creation (2015 - Ongoing). This programme targets applied research and innovation projects which will be part of a co-creation dynamic and will be implemented in living labs which they will establish with the end users as partners. It has the following objectives: Through the Co-create programme, Innoviris wishes to bring closer the Brussels population, the world of research and innovation and the corporate world.It uses Grants for business R&D and innovation as policy instruments. and it has a budget of 1M-5M euros.",86
Germany,NATIONAL BIOECONOMY STRATEGY,"Germany's NATIONAL BIOECONOMY STRATEGY (2020 - Ongoing). The National Bioeconomy Strategy constitutes a framework for national efforts in the area of bioeconomy to combine economy and ecology to ensure a more sustainable use of resources. It has the following objectives: Develop bioeconomy solutions for the 2030 Agenda for Sustainable Development.Recognise and harness the potential of the bioeconomy within ecological boundaries.Enhance and apply biological knowledge.Establish a sustainable raw material base for industry.Promote Germany as the leading location for innovation in the bioeconomy.Involve society and strengthen national and international collaboration.It uses Public awareness campaigns and other outreach activities, Strategies, agendas and plans, Creation or reform of governance structure or public body as policy instruments.",112
Slovenia,SUPPORT TO EARLY CAREER RESEARCHERS,Slovenia's SUPPORT TO EARLY CAREER RESEARCHERS (2016 - Ongoing). With the involvement of researchers and their research potential the incentive will focus on the implementation of research projects with the cooperation of research organisations and the economy. Specific attention will be given to researchers who are returning to Slovenia after completing their research or educational work at international research and/or higher education institutions and who bring experience and know-how from abroad back home. It has the following objectives: Support researchers careers.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,98
Thailand,RESEARCH CHAIR GRANT,"Thailand's RESEARCH CHAIR GRANT (2008 - Ongoing). Research Chair Grant is a funding program, aiming to support quality research projects that will create significant social and economic impact, with an emphasis on building a strong research team. It has the following objectives: To foster and strengthen a research team consisting of senior and junior scientists as well as students, supporting career development at different levels of seniority.To support research with high social and economic impact.To support collaboration between academic and the industry or society.It uses Project grants for public research as policy instruments.",93
Thailand,SCIENCE AND TECHNOLOGY DEVELOPMENT FUND,"Thailand's SCIENCE AND TECHNOLOGY DEVELOPMENT FUND (1991 - Ongoing). The Science and Technology Development Fund is designed for implementing activities for S&T development. It has the following objectives: To support research, development, design and engineering that will lead to technology transfer.To promote human resource development and S&T infrastructure development.To provide analytical services, infrastructure service, business and investment to enhance the nation’s competitiveness.It uses Institutional funding for public research as policy instruments.",71
Thailand,GRAND CHALLENGES FUNDING SCHEME: SOCIETAL PROGRAM AREAS,"Thailand's GRAND CHALLENGES FUNDING SCHEME: SOCIETAL PROGRAM AREAS (2016 - Ongoing). Thailand Grand Challenges Program funds research projects leading to results that can be practically utilized with high social and economic impact for the country. It has the following objectives: To fund integrated and interdisciplinary projects with clear targets, with results that can be utilized to improve quality of life and create economic and social impact.It uses Project grants for public research as policy instruments. and it has a budget of Less than 1M euros.",85
Thailand,GRAND CHALLENGES FUNDING SCHEME: HEALTH AND PUBLIC HEALTH SYSTEM,Thailand's GRAND CHALLENGES FUNDING SCHEME: HEALTH AND PUBLIC HEALTH SYSTEM (2016 - Ongoing). Thailand Grand Challenges Program funds research projects with results that can be practically utilized with high social and economic impact for the country. It has the following objectives: To fund research in integrated and interdisciplinary projects with clear targets with results that can be utilized in health sector and public health system.It uses Project grants for public research as policy instruments. and it has a budget of Less than 1M euros.,84
Iceland,STRATEGIC RESEARCH FUND,"Iceland's STRATEGIC RESEARCH FUND (2018 - Ongoing). Strategic competitive funding for specified research topics. The current topic was announced in 2018. There are plans for allocating fund this year in line with defined societal challenges. It has the following objectives: Foster research on targeted topics, identified by the science and technology policy council. Need to fund a mixture of basic and applied research. All results to be published open access.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",87
Argentina,RESEARCH INFRASTRUCTURES,"Argentina's RESEARCH INFRASTRUCTURES (2008 - Ongoing). Argentinean National Systems (Networks) are designed to make public funding available for the whole scientific community and the productive sector. It has the following objectives: To promote access to facilities: X Ray, Microscopy, Magnetic Resonance, Mass Spectrometry, Hugh Performance Computing, Laser, Advanced Networks, Bioteriums, Magnometry, Flow Cytometry.To promote access to databases: Ocean Data, Biological Data, Climate Data, Genomic Data and Digital Repositories.It uses Institutional funding for public research as policy instruments.",77
Belgium - Flanders,RESEARCH GRANTS,Belgium - Flanders's RESEARCH GRANTS (1993 - Ongoing). The research grant supports young and/or established researchers with an individual research expense grant. It has the following objectives: The research grant supports young and/or established researchers with an individual research expense grant.It uses Project grants for public research as policy instruments.,50
Portugal,INTERFACE PROGRAMME,"Portugal's INTERFACE PROGRAMME (2017 - Ongoing). Programme to promote collaborative innovation, tech transfer, knowledge valorisation and the creation of Innovation networks. It has the following objectives: To create added value through knowledge valorisation.It uses Networking and collaborative platforms, Technology extension and business advisory services, Grants for business R&D and innovation, Networking and collaborative platforms as policy instruments.",57
Russian Federation,SCIENCE AND TECHNOLOGY INFRASTRUCTURE OF THE RUSSIAN FEDERATION,"Russian Federation's SCIENCE AND TECHNOLOGY INFRASTRUCTURE OF THE RUSSIAN FEDERATION (2011 - Ongoing). The portal contains up-to-date and systematic information about the network of centers for the collective use of scientific equipment and unique scientific facilities the Russian Federation, including those supported by the Russian Ministry of Science and Higher Education within the framework of federal target programs “Research and development in priority areas for the development of the scientific and technological complex” for 2007-2013 and 2014-2020 and constituting the core of the modern national research infrastructure. It has the following objectives: Monitoring research infrastructure and equipment.Linking the providers and potential customers of scientific services.Monitoring the research results derived with the use of research equipment.It uses Dedicated support to research infrastructures, Information services and access to datasets as policy instruments.",130
New Zealand,VISION MĀTAURANGA CAPABILITY FUND,"New Zealand's VISION MĀTAURANGA CAPABILITY FUND (2013 - Ongoing). The Fund invests in the development of skilled people and organisations that plan to undertake, or are undertaking, research that supports the themes and outcomes of our Vision Mātauranga policy. It has the following objectives: Strengthen capability, capacity, skills and networks between Māori and the science and innovation systemincrease understanding of how research can contribute to the aspirations of Māori organisations and deliver benefit for New Zealand.It uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",93
Costa Rica,NATIONAL POLICY FOR A KNOWLEDGE-BASED SOCIETY AND ECONOMY,"Costa Rica's NATIONAL POLICY FOR A KNOWLEDGE-BASED SOCIETY AND ECONOMY (2017 - Ongoing). Its an initiative of the Costa Rican state, consensus with civil society, the private sector and academia to articulate the countrys efforts in a long-term vision, with respect to scientific and technological progress and its impact economic, social and environmental. It has the following objectives: Its main objective is the promotion, strengthening and diffusion of knowledge as well as scientific and technological development in benefit of the Costa Rican society.It uses Strategies, agendas and plans, Project grants for public research as policy instruments.",96
Denmark,RESEARCH2025 - promising future research areas,"Denmark's RESEARCH2025 - promising future research areas (2016 - Ongoing). Knowledge base for prioritising strategic research funding through co-creation. It has the following objectives: Mapping societys greatest research needs as a basis for political priorities.It uses Strategies, agendas and plans as policy instruments.",43
Belgium - Federal government,HIGH PERFORMANCE COMPUTING PROJECT,Belgium - Federal government's HIGH PERFORMANCE COMPUTING PROJECT (2017 - Ongoing). Belgium has joined European cooperation on high performance computing in June 2017. It has the following objectives: This project aims to build together a pan European world-class digital infrastructure for the future.It uses Dedicated support to research infrastructures as policy instruments.,52
Belgium - Federal government,SCIENCECLOUD PROJECT,Belgium - Federal government's SCIENCECLOUD PROJECT (2017 - Ongoing). The Science Cloud is a specific ICT space foreseen for the Federal Research Institutes. It has the following objectives: Develop a common ICT infrastructure wherein the Federal Research Institutes can install their data sources and applications.It uses Information services and access to datasets as policy instruments.,55
Estonia,ETAIS - ESTONIAN SCIENTIFIC COMPUTING INFRASTRUCTURE,Estonia's ETAIS - ESTONIAN SCIENTIFIC COMPUTING INFRASTRUCTURE (2010 - Ongoing). The Estonian Scientific Computing Infrastructure is a part of the Estonian national roadmap of research infrastructures. It has the following objectives: To provide computing and storage resources for Estonian scientific community (and in the future also to other public sector users and industry).It uses Dedicated support to research infrastructures as policy instruments. and it has a budget of Less than 1M euros.,72
Chile,FUND FOR SCIENCE AND TECHNOLOGY RESEARCH,"Chile's FUND FOR SCIENCE AND TECHNOLOGY RESEARCH (2004 - Ongoing). This program seeks to enhance scientific and technological development in the country, through the funding of research projects based in cooperative and multidisciplinary work. The program encourages the formation of scientific research groups, inside research institutions, with the purpose of strengthening the development of sciences and technology, as well as, human capital formation. It has the following objectives: Promote advanced scientific and technological research.Achieve an international scope and establish networks.Joint development of science-based technologies, in partnership with the private and the productive sector.Apply results in real situations.Training of researchers.Formation and training of postgraduate students.It uses Institutional funding for public research as policy instruments. and it has a budget of Less than 1M euros.",123
Chile,BASAL FINANCING FOR THE GENERATION OF PUBLIC GOODS,"Chile's BASAL FINANCING FOR THE GENERATION OF PUBLIC GOODS (2015 - Ongoing). This program seeks to generate and maintain enabling technological capabilities in entities that fulfil a public mandate, in order to provide goods and services of public interest for competitiveness in strategic sectors for the country. It has the following objectives: Generate and maintain enabling technological capabilities in technological entities, for the provision of goods and services of public interest for competitiveness, spheres and / or strategic sectors, contributing to the closing of gaps in advanced human capital, infrastructure and technological equipment with a vision of long term.It uses Project grants for public research as policy instruments. and it has a budget of Less than 1M euros.",118
Belgium - Brussels Capital,Competence centres,"Belgium - Brussels Capital's Competence centres (2000 - Ongoing). Innoviris finances various collective research centres or guidance centres that exchange information, stimulate innovation, and improve the technical expertise within a number of sectors (food, construction, high-tech). It has the following objectives: Facilitate information exchanges, best practices, training with regard to innovation, and collaboration.Offer direct and personalised advice to companiesEnable rapid testing of innovative ideasIt uses Centres of excellence grants as policy instruments. and it has a budget of 1M-5M euros.",80
Argentina,HIGH PERFORMANCE COMPUTING NATIONAL SYSTEM,"Argentina's HIGH PERFORMANCE COMPUTING NATIONAL SYSTEM (2010 - Ongoing). The national state, has under the orbit of the mincyt the National System of High Performance Computing, whose purpose is to consolidate a national network of high performance computing centers belonging to the interconnected scientific and academic system, to meet the growing demand of the scientific community and technological in the areas of storage, mesh computing, high performance and high performance, visualization and other emerging technologies. It has the following objectives: Promote policies that help maximize the use of equipment used in these areas, which has been acquired with public funds.Contribute to the efficient management of available resources and the achievement of public and private financing for the improvement of the network for the provision of services.Provide facilities for the acquisition of new equipment and improvement of existing ones.Promote the training of trained human resources through common programs.Promote the integration of the centers to the international R + D + i community.Generate a proper system for the issuance and validation of certificates.It uses Institutional funding for public research as policy instruments. and it has a budget of 1M-5M euros.",188
Portugal,MINHO ADVANCED COMPUTING CENTER,"Portugal's MINHO ADVANCED COMPUTING CENTER (2017 - Ongoing). FCT, UMinho and UTAustin protocol that will trigger the installation process of the first supercomputer in Portugal, in the first quarter of 2018, along with the creation of Minho Advanced Computing Centre (MACC). It has the following objectives: To install a new infrastructure to develop new areas of computing in Portugal, complementing the existing resources in the regions of Lisbon and Tagus Valley and the Centre in this area of research.To serve scientific and business applications, particularly in areas that include climate, maritime safety, support to fisheries, monitoring of patterns of mobility in cities, encouraging biodiversity, risk management in forests and applications for health, including bioinformatics.To serve AIR Centre.To facilitate the future adoption of the National Open Science Policy.It uses Dedicated support to research infrastructures as policy instruments.",136
Brazil,SINAPAD,"Brazil's SINAPAD (2004 - Ongoing). The Programme consists of a network of high performance computers implemented by the Ministry of Science and Technology and is geographically distributed in 9 unities named ""National Centres of High Performance Computing"" run by universities and ICT institutes in Brazil. It has the following objectives: Provide services of high performance computing, by demand, to universities, research institutes and other private or public institutions.Support the development of high performance computing services and applications.Foster and support the qualification of human resources.Transfer HPC knowledge and technology.Publicize the culture and applications of HPC.It uses Institutional funding for public research, Dedicated support to research infrastructures as policy instruments.",108
Peru,PROJECTS OF APPLIED RESEARCH IN CONSTRUCTION AND SANITATION,"Peru's PROJECTS OF APPLIED RESEARCH IN CONSTRUCTION AND SANITATION (2017 - Ongoing). Generate new knowledge and applications in the public domain, through scientific research and technological development that provide solutions and alternatives for the construction and sanitation sectors in Peru. It has the following objectives: Promote the development of lines of research established by SENCICO to address the problems of the construction and sanitation sector.Promote collaborative work between academia, research institutions and the private sector linked to construction and sanitation.Train young researchers to incorporate a new generation of scientists in the public and private sectors.It uses Project grants for public research as policy instruments. and it has a budget of Less than 1M euros.",114
