,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
15,['neutral'],4804607632.jpg#2,neutral,4804607632.jpg#2r1n,"A few people in a restaurant setting, one of them is drinking orange juice.","( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))",The people are eating omelettes.,( ( The people ) ( ( are ( eating omelettes ) ) . ) ),(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (VP (VBG eating) (NP (NNS omelettes)))) (. .)))
16,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",4804607632.jpg#2,contradiction,4804607632.jpg#2r1c,"A few people in a restaurant setting, one of them is drinking orange juice.","( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))",The people are sitting at desks in school.,( ( The people ) ( ( are ( sitting ( at ( desks ( in school ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (VP (VBG sitting) (PP (IN at) (NP (NP (NNS desks)) (PP (IN in) (NP (NN school))))))) (. .)))
17,['entailment'],4804607632.jpg#2,entailment,4804607632.jpg#2r1e,"A few people in a restaurant setting, one of them is drinking orange juice.","( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))",The diners are at a restaurant.,( ( The diners ) ( ( are ( at ( a restaurant ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS diners)) (VP (VBP are) (PP (IN at) (NP (DT a) (NN restaurant)))) (. .)))
18,['entailment'],4804607632.jpg#3,entailment,4804607632.jpg#3r1e,An older man is drinking orange juice at a restaurant.,( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .))),A man is drinking juice.,( ( A man ) ( ( is ( drinking juice ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (NN juice)))) (. .)))
19,['contradiction'],4804607632.jpg#3,contradiction,4804607632.jpg#3r1c,An older man is drinking orange juice at a restaurant.,( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .))),Two women are at a restaurant drinking wine.,( ( Two women ) ( ( are ( at ( a ( restaurant ( drinking wine ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (PP (IN at) (NP (DT a) (NN restaurant) (NN drinking) (NN wine)))) (. .)))
20,['neutral'],4804607632.jpg#3,neutral,4804607632.jpg#3r1n,An older man is drinking orange juice at a restaurant.,( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .))),A man in a restaurant is waiting for his meal to arrive.,( ( ( A man ) ( in ( a restaurant ) ) ) ( ( is ( waiting ( for ( his ( meal ( to arrive ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (NN restaurant)))) (VP (VBZ is) (VP (VBG waiting) (PP (IN for) (NP (PRP$ his) (NN meal) (S (VP (TO to) (VP (VB arrive)))))))) (. .)))
21,['neutral'],4850814517.jpg#1,neutral,4850814517.jpg#1r1n,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.","( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )","(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))",A blond man getting a drink of water from a fountain in the park.,( ( ( A ( blond man ) ) ( ( getting ( ( a drink ) ( of water ) ) ) ( from ( ( a fountain ) ( in ( the park ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG getting) (NP (NP (DT a) (NN drink)) (PP (IN of) (NP (NN water)))) (PP (IN from) (NP (NP (DT a) (NN fountain)) (PP (IN in) (NP (DT the) (NN park)))))) (. .)))
22,['contradiction'],4850814517.jpg#1,contradiction,4850814517.jpg#1r1c,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.","( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )","(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))",A blond man wearing a brown shirt is reading a book on a bench in the park,( ( ( A ( blond man ) ) ( wearing ( a ( brown shirt ) ) ) ) ( is ( ( reading ( a book ) ) ( on ( ( a bench ) ( in ( the park ) ) ) ) ) ) ),(ROOT (S (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG wearing) (NP (DT a) (JJ brown) (NN shirt)))) (VP (VBZ is) (VP (VBG reading) (NP (DT a) (NN book)) (PP (IN on) (NP (NP (DT a) (NN bench)) (PP (IN in) (NP (DT the) (NN park)))))))))
23,['entailment'],4850814517.jpg#1,entailment,4850814517.jpg#1r1e,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.","( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )","(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))",A blond man drinking water from a fountain.,( ( ( A ( blond man ) ) ( ( drinking water ) ( from ( a fountain ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG drinking) (NP (NN water)) (PP (IN from) (NP (DT a) (NN fountain)))) (. .)))
24,['contradiction'],4705552913.jpg#0,contradiction,4705552913.jpg#0r1c,Two women who just had lunch hugging and saying goodbye.,( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .))),The friends scowl at each other over a full dinner table.,( ( The friends ) ( ( scowl ( at ( ( each other ) ( over ( a ( full ( dinner table ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS friends)) (VP (VBP scowl) (PP (IN at) (NP (NP (DT each) (JJ other)) (PP (IN over) (NP (DT a) (JJ full) (NN dinner) (NN table)))))) (. .)))
25,['entailment'],4705552913.jpg#0,entailment,4705552913.jpg#0r1e,Two women who just had lunch hugging and saying goodbye.,( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .))),There are two woman in this picture.,( There ( ( are ( ( two woman ) ( in ( this picture ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (CD two) (NN woman)) (PP (IN in) (NP (DT this) (NN picture))))) (. .)))
26,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",4705552913.jpg#0,neutral,4705552913.jpg#0r1n,Two women who just had lunch hugging and saying goodbye.,( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .))),"The friends have just met for the first time in 20 years, and have had a great time catching up.","( ( The friends ) ( ( ( ( ( ( have just ) ( met ( for ( ( the ( first time ) ) ( in ( 20 years ) ) ) ) ) ) , ) and ) ( have ( had ( ( a ( great time ) ) ( catching up ) ) ) ) ) . ) )","(ROOT (S (NP (DT The) (NNS friends)) (VP (VP (VBP have) (ADVP (RB just)) (VP (VBN met) (PP (IN for) (NP (NP (DT the) (JJ first) (NN time)) (PP (IN in) (NP (CD 20) (NNS years))))))) (, ,) (CC and) (VP (VBP have) (VP (VBN had) (NP (NP (DT a) (JJ great) (NN time)) (VP (VBG catching) (PRT (RP up))))))) (. .)))"
27,['neutral'],4705552913.jpg#3,neutral,4705552913.jpg#3r1n,"Two women, holding food carryout containers, hug.","( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )","(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.","( ( The ( two sisters ) ) ( ( ( ( ( saw ( each other ) ) ( across ( the ( crowded diner ) ) ) ) and ) ( shared ( ( ( a hug ) , ) ( both ( clutching ( their ( doggie bags ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (DT The) (CD two) (NNS sisters)) (VP (VP (VBD saw) (NP (DT each) (JJ other)) (PP (IN across) (NP (DT the) (JJ crowded) (NN diner)))) (CC and) (VP (VBD shared) (NP (NP (DT a) (NN hug)) (, ,) (SBAR (WHNP (DT both)) (S (VP (VBG clutching) (NP (PRP$ their) (JJ doggie) (NNS bags)))))))) (. .)))"
28,['contradiction'],4705552913.jpg#3,contradiction,4705552913.jpg#3r1c,"Two women, holding food carryout containers, hug.","( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )","(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))",Two groups of rival gang members flipped each other off.,( ( ( Two groups ) ( of ( rival ( gang members ) ) ) ) ( ( ( flipped ( each other ) ) off ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS groups)) (PP (IN of) (NP (JJ rival) (NN gang) (NNS members)))) (VP (VBD flipped) (NP (DT each) (JJ other)) (PRT (RP off))) (. .)))
29,"['entailment', 'entailment', 'entailment', 'entailment', 'contradiction']",4705552913.jpg#3,entailment,4705552913.jpg#3r1e,"Two women, holding food carryout containers, hug.","( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )","(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))",Two women hug each other.,( ( Two women ) ( ( hug ( each other ) ) . ) ),(ROOT (S (NP (CD Two) (NNS women)) (VP (VB hug) (NP (DT each) (JJ other))) (. .)))
30,['neutral'],3637966641.jpg#1,neutral,3637966641.jpg#1r1n,A Little League team tries to catch a runner sliding into a base in an afternoon game.,( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .))),A team is trying to score the games winning out.,( ( A team ) ( ( is ( ( ( trying ( to score ) ) ( the games ) ) ( winning out ) ) ) . ) ),(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG trying) (PP (TO to) (NP (NN score))) (NP (DT the) (NNS games)) (VP (VBG winning) (PRT (RP out))))) (. .)))
31,['entailment'],3637966641.jpg#1,entailment,3637966641.jpg#1r1e,A Little League team tries to catch a runner sliding into a base in an afternoon game.,( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .))),A team is trying to tag a runner out.,( ( A team ) ( ( is ( trying ( to ( ( tag ( a runner ) ) out ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB tag) (NP (DT a) (NN runner)) (PRT (RP out))))))) (. .)))
32,['contradiction'],3637966641.jpg#1,contradiction,3637966641.jpg#1r1c,A Little League team tries to catch a runner sliding into a base in an afternoon game.,( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .))),A team is playing baseball on Saturn.,( ( A team ) ( ( is ( ( playing baseball ) ( on Saturn ) ) ) . ) ),(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG playing) (NP (NN baseball)) (PP (IN on) (NP (NNP Saturn))))) (. .)))
